Miyagi
Sat Jul 27 2024 02:29:46 GMT+0900 (Japan Standard Time)



2024/1/1,5.7
2024/1/2,4.8
2024/1/3,6.7
2024/1/4,6.1
2024/1/5,7.1
2024/1/6,7.0
2024/1/7,3.6
2024/1/8,0.9
2024/1/9,5.3
2024/1/10,3.5
2024/1/11,1.5
2024/1/12,3.5
2024/1/13,2.4
2024/1/14,4.5
2024/1/15,1.9
2024/1/16,-1.1
2024/1/17,5.2
2024/1/18,6.7
2024/1/19,5.3
2024/1/20,4.3
2024/1/21,6.2
2024/1/22,7.3
2024/1/23,5.9
2024/1/24,1.6
2024/1/25,1.0
2024/1/26,2.9
2024/1/27,3.5
2024/1/28,3.5
2024/1/29,4.1
2024/1/30,4.5
2024/1/31,6.2
2024/2/1,4.4
2024/2/2,1.6
2024/2/3,2.2
2024/2/4,4.2
2024/2/5,1.9
2024/2/6,0.5
2024/2/7,2.2
2024/2/8,3.4
2024/2/9,3.8
2024/2/10,3.9
2024/2/11,3.1
2024/2/12,3.1
2024/2/13,6.9
2024/2/14,12.6
2024/2/15,14.0
2024/2/16,4.4
2024/2/17,3.3
2024/2/18,9.1
2024/2/19,14.4
2024/2/20,10.8
2024/2/21,0.9
2024/2/22,0.2
2024/2/23,0.9
2024/2/24,1.5
2024/2/25,1.1
2024/2/26,4.8
2024/2/27,5.1
2024/2/28,5.1
2024/2/29,5.8
2024/3/1,5.4
2024/3/2,1.2
2024/3/3,3.6
2024/3/4,2.5
2024/3/5,3.0
2024/3/6,2.1
2024/3/7,3.3
2024/3/8,1.6
2024/3/9,2.7
2024/3/10,2.5
2024/3/11,6.5
2024/3/12,5.9
2024/3/13,5.5
2024/3/14,7.1
2024/3/15,11.0
2024/3/16,9.1
2024/3/17,10.0
2024/3/18,4.1
2024/3/19,6.1
2024/3/20,2.7
2024/3/21,4.0
2024/3/22,5.2
2024/3/23,3.3
2024/3/24,9.2
2024/3/25,11.6
2024/3/26,4.4
2024/3/27,6.8
2024/3/28,8.1
2024/3/29,12.9
2024/3/30,12.8
2024/3/31,11.8
2024/4/1,10.0
2024/4/2,11.2
2024/4/3,10.9
2024/4/4,13.3
2024/4/5,10.4
2024/4/6,10.9
2024/4/7,15.4
2024/4/8,16.7
2024/4/9,12.0
2024/4/10,9.6
2024/4/11,11.8
2024/4/12,14.3
2024/4/13,15.3
2024/4/14,16.2
2024/4/15,17.7
2024/4/16,17.0
2024/4/17,16.8
2024/4/18,15.9
2024/4/19,14.9
2024/4/20,15.5
2024/4/21,14.9
2024/4/22,15.1
2024/4/23,13.3
2024/4/24,13.6
2024/4/25,17.2
2024/4/26,18.4
2024/4/27,18.4
2024/4/28,20.6
2024/4/29,17.7
2024/4/30,19.2
2024/5/1,14.9
2024/5/2,14.5
2024/5/3,16.5
2024/5/4,18.6
2024/5/5,19.5
2024/5/6,21.8
2024/5/7,19.0
2024/5/8,14.3
2024/5/9,12.1
2024/5/10,16.3
2024/5/11,19.3
2024/5/12,20.1
2024/5/13,16.2
2024/5/14,15.2
2024/5/15,16.2
2024/5/16,16.8
2024/5/17,17.5
2024/5/18,19.5
2024/5/19,20.3
2024/5/20,17.5
2024/5/21,18.1
2024/5/22,16.3
2024/5/23,19.8
2024/5/24,21.0
2024/5/25,17.3
2024/5/26,18.1
2024/5/27,21.9
2024/5/28,17.3
2024/5/29,17.7
2024/5/30,18.7
2024/5/31,18.4
2024/6/1,17.0
2024/6/2,15.8
2024/6/3,16.1
2024/6/4,17.8
2024/6/5,18.0
2024/6/6,18.5
2024/6/7,19.0
2024/6/8,20.4
2024/6/9,20.7
2024/6/10,21.0
2024/6/11,22.0
2024/6/12,23.1
2024/6/13,22.9
2024/6/14,23.0
2024/6/15,22.2
2024/6/16,23.2
2024/6/17,25.6
2024/6/18,21.9
2024/6/19,24.6
2024/6/20,23.3
2024/6/21,22.9
2024/6/22,24.3
2024/6/23,20.4
2024/6/24,24.2
2024/6/25,24.2
2024/6/26,22.9
2024/6/27,21.8
2024/6/28,21.8
2024/6/29,23.7
2024/6/30,23.4
2024/7/1,26.0
2024/7/2,23.7
2024/7/3,22.9
2024/7/4,27.2
2024/7/5,26.3
2024/7/6,26.2
2024/7/7,30.0
2024/7/8,25.1
2024/7/9,24.9
2024/7/10,24.3
2024/7/11,23.9
2024/7/12,23.2
2024/7/13,24.1
2024/7/14,23.5
2024/7/15,23.7
2024/7/16,23.2
2024/7/17,24.3
2024/7/18,25.1
2024/7/19,26.0
2024/7/20,27.7
2024/7/21,27.7
2024/7/22,31.0
2024/7/23,30.2
2024/7/24,29.6
2024/7/25,24.6
2024/7/26,26.6
